"","sampleid2","ID","KMP.ID","Birthday","Month","Treatment","Sex","Rank","Cohort","Age.Days","Age.Months","Group","Litter","Mother","days.RX","Capture.Birth","Preg.stage","Littercode","Preg.end","Outcome","Litter.Size","Sex.Ratio","Capture.Date","Average.Weight.5.days","Group.size","Total.monthly.Rainfall","Average.monthly.AirTempMin","Average.monthly..AirTempMax","Cap.time","Bleed.St","Bleed.end","Cap.Bleed","Blood.Sample.no","E.pg.ml","A4.ng.ml","T.ng.ml","S.ng.ml","IGF.1.ng.ml","Morpometric.observor","HF.1","HF.2","HF.3","HINDFOOT.avrg","HF.w.o.C.1","HF.w.o.C.2","HF.w.o.C.3","HINDFOOT.w.o.CLAW.avrg","FA.1","FA.2","FA.3","FOREARM.avrg","W.1","W.2","W.3","WRIST.avrg","W.w.o.C.1","W.w.o.C.2","W.w.o.C.3","WRIST.w.o.CLAW.avrg","SW.1","SW.2","SW.3","SKULL.WIDTH.avrg","SL.1","SL.2","SL.3","SKULL.LENGTH.avrg","AGD1","AGD2","AGD3","AGD.AVRG","AGD.observor","BODY.LENGTH..CM.","MORPHS","X2D4D","Extraction.no.","date","ConditionResiduals","ConditionResiduals_scaled","Total.monthly.Rainfall_scaled"
"160",227,227,"VKUM072","6-Jan-14","5-Feb-14","C","M","S",3,21,1,"KUNGFU","VKU1402","VKUF069",NA,NA,NA,NA,NA,NA,NA,NA,"27-Jan-14",50,4.9,8,18.49515219,36.81867281,"9:15:00","9:25:00",NA,10,"3958",NA,0.294,0.228,NA,30.72,"CHA",NA,NA,NA,30.63,NA,NA,NA,28.83,NA,NA,NA,24.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.89,NA,NA,NA,42.1,NA,NA,NA,4,"LID",NA,"YES",NA,NA,2014-02-05,40.2755247890917,0.302972134475779,-0.219489598425432
"161",228,228,"VKUM071","6-Jan-14","5-Feb-14","C","M","S",3,21,1,"KUNGFU","VKU1402","VKUF069",NA,NA,NA,NA,NA,NA,NA,NA,"27-Jan-14",53.83333333,4.9,8,18.49515219,36.81867281,"9:15:00",NA,NA,NA,"3957",NA,0.954,0.284,NA,51.68,"CHA",NA,NA,NA,28.44,NA,NA,NA,26.57,NA,NA,NA,24.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.37,NA,NA,NA,40.98,NA,NA,NA,3.67,"LID",NA,"YES",NA,NA,2014-02-05,72.2021526833612,0.534057979908795,-0.219489598425432
"162",229,229,"VMYF004","29-Oct-13","27-Jan-14","S","F","S",3,91,3,"MAYANS","VMY1206","VAZF052",NA,NA,NA,NA,NA,NA,NA,NA,"28-Jan-14",276.5,7.5,10,18.59950969,36.83116906,"6:33:00","6:37:00","6:40:00",4,"3959",255.697,0.637,0.221,NA,111.1,"CHA",60.02,60.08,60.06,60.05333333,54.98,55.16,55.21,55.11666667,47.01,47,46.84,46.95,45.87,"45.67",45.78,45.77333333,35.43,35.53,35.46,35.47333333,30.57,31.3,30.44,30.43666667,60.68,60.48,"60.67",60.61,6.24,6.37,6.42,6.343333333,"CHA","23.6","YES",NA,NA,2014-01-27,-103.024041948109,-0.734234226287252,-0.186035275081373
"163",230,230,"VMYF005","29-Oct-13","27-Jan-14","S","F","S",3,91,3,"MAYANS","VMY1206","VAZF052",NA,NA,NA,NA,NA,NA,NA,NA,"28-Jan-14",359,7.5,10,18.59950969,36.83116906,"6:55:00","6:59:00","7:01:00",4,"3961",128.047,0.471,0.022,NA,61.62,"CHA",63.17,63.16,63.28,63.20333333,58.27,58.14,58.27,58.22666667,48.93,48.69,48.52,48.71333333,47.87,"47.82",47.68,47.79,36.77,36.43,36.32,36.50666667,34.78,35.65,34.63,34.68666667,66,66.13,"65.97",66.03,6.94,6.98,7.24,7.053333333,"CHA","26.4","YES",NA,NA,2014-01-27,-58.1796384331801,-0.409649151612122,-0.186035275081373
"164",231,231,"VKUF077","6-Jan-14","5-Feb-14","C","F","S",3,27,1,"KUNGFU","VKU1402","VKUF069",NA,NA,NA,NA,NA,NA,NA,NA,"2-Feb-14",66.16666667,4.9,24.199997,18.76057719,35.98452813,"10:00:00","10:10:00",NA,10,"3982",NA,2.319,0.022,NA,25.76,"CHA",NA,NA,NA,32.24,NA,NA,NA,30.68,NA,NA,NA,25.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.38,NA,NA,NA,43.68,NA,NA,NA,3.82,"CHA",NA,"YES",NA,NA,2014-02-05,19.1275951280075,0.149902815001337,0.0514903704799611
"165",232,232,"VKUM070","6-Jan-14","5-Feb-14","C","M","S",3,27,1,"KUNGFU","VKU1402","VKUF069",NA,NA,NA,NA,NA,NA,NA,NA,"2-Feb-14",68.83333333,4.9,24.199997,18.76057719,35.98452813,"9:13:00","9:28:00",NA,15,"3980",NA,1.284,0.8328,NA,NA,"CHA",NA,NA,NA,32.21,NA,NA,NA,31.55,NA,NA,NA,25.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.45,NA,NA,NA,43.25,NA,NA,NA,5.64,"CHA",NA,"YES",NA,NA,2014-02-05,38.840636469984,0.292586371800777,0.0514903704799611
"166",233,233,"VKUM073","6-Jan-14","5-Feb-14","C","M","S",3,27,1,"KUNGFU","VKU1402","VKUF069",NA,NA,NA,NA,NA,NA,NA,NA,"2-Feb-14",56,4.9,24.199997,18.76057719,35.98452813,"9:13:00","9:47:00",NA,34,"3981",NA,1.035,0.588,NA,NA,"CHA",NA,NA,NA,32.07,NA,NA,NA,30.32,NA,NA,NA,25.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,NA,NA,NA,42.43,NA,NA,NA,6.12,"CHA",NA,"YES",NA,NA,2014-02-05,27.8032215139555,0.212697246805944,0.0514903704799611
"167",234,234,"VLM210","8-Jan-14","7-Feb-14","S","M","S",3,26,1,"LAZULI","VL1401","VLF194",NA,NA,NA,NA,NA,NA,NA,NA,"3-Feb-14",182,6.6,24.199997,18.82157969,35.74447719,"7:48:00","8:01:00",NA,13,"3985",NA,0.976,NA,NA,NA,"CHA",NA,NA,NA,42.05,NA,NA,NA,39.95,NA,NA,NA,31.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.09,NA,NA,NA,51.29,NA,NA,NA,4.41,"CHA",NA,"YES",NA,NA,2014-02-07,25.7798974265534,0.198052369217533,0.0514903704799611
"168",235,235,"VLM211","8-Jan-14","7-Feb-14","S","M","S",3,27,1,"LAZULI","VL1401","VLF194",NA,NA,NA,NA,NA,NA,NA,NA,"4-Feb-14",176,6.6,34.199992,18.87385375,35.54053188,"8:54:00","9:04:00",NA,10,"3996",NA,0.64,NA,NA,330.2,"CHA",NA,NA,NA,41.14,NA,NA,NA,39.25,NA,NA,NA,32.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.29,NA,NA,NA,52.39,NA,NA,NA,7.24,"CHA",NA,"YES",NA,NA,2014-02-07,31.4533668573686,0.239117103153735,0.218761903564448
"169",236,236,"VEKF021","5-Nov-13","3-Feb-14","C","F","S",3,91,3,"EWOKS","VEK1303","VKUF005",NA,NA,NA,NA,NA,NA,NA,NA,"4-Feb-14",325.2,8.8,34.199992,18.87385375,35.54053188,"7:26:00","7:32:00","7:33:00",6,"3994",NA,0.882,0.022,NA,113.86,"CHA",63.01,63.03,62.99,63.01,57.86,57.96,58.06,57.96,48.02,47.85,48.07,47.98,47.79,"47.88",47.76,47.81,35.02,35.18,35.08,35.09333333,32.95,33.99,32.8,32.91333333,65.76,65.51,"65.51",65.59,7.54,7.61,7.49,7.546666667,"CHA","24","YES",1.065746229,26,2014-02-03,-89.668501334261,-0.637566441509395,0.218761903564448
"170",237,237,"VEKF023","5-Nov-13","3-Feb-14","C","F","S",3,91,3,"EWOKS","VEK1303","VKUF005",NA,NA,NA,NA,NA,NA,NA,NA,"4-Feb-14",322.5,8.8,34.199992,18.87385375,35.54053188,"6:59:00","7:11:00","7:12:00",12,"3992",214.803,0.75,0.022,NA,NA,"CHA",NA,NA,NA,59.35,NA,NA,NA,54.46,NA,NA,NA,47.92,NA,NA,NA,45.05,NA,NA,NA,36,NA,NA,NA,32.8,NA,NA,NA,62.58,NA,NA,NA,8.09,"CHA","25.8","YES",1.034700922,NA,2014-02-03,-48.6162844658924,-0.340429322194981,0.218761903564448
"171",238,238,"VEKF022","5-Nov-13","3-Feb-14","C","F","S",3,92,3,"EWOKS","VEK1303","VKUF005",NA,NA,NA,NA,NA,NA,NA,NA,"5-Feb-14",316.2,8.8,35.599992,18.87094438,35.36191281,"7:13:00","7:20:00","7:20:00",7,"3997",231.939,0.931,0.022,NA,199.06,"CHA",61.48,61.53,61.12,61.37666667,55.61,55.81,55.73,55.71666667,47.63,47.54,47.51,47.56,46.45,"46.45",46.5,46.46666667,36.17,35.96,36.32,36.15,33.8,34.8,33.65,33.75,63.76,63.56,"63.71",63.68,8.73,7.83,7.5,8.02,"CHA","25.8","YES",NA,NA,2014-02-03,-79.1433772707379,-0.561385292640141,0.242179929905289
"172",246,246,"VEKF025","24-Jan-14","23-Feb-14","F","F","S",3,26,1,"EWOKS","VEK1401","VKUF005",17,NA,NA,NA,NA,NA,NA,NA,"19-Feb-14",155.75,9.7,40.79999,19.61370594,34.82071375,"10:18:00",NA,NA,NA,"4036",NA,1.524,0.022,NA,NA,"CHA",NA,NA,NA,43.14,NA,NA,NA,40.44,NA,NA,NA,30.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.66,NA,NA,NA,48.27,NA,NA,NA,3.74,"CHA",NA,"YES",NA,NA,2014-02-23,-21.5893895379537,-0.144807884048268,0.329161137145519
"173",247,247,"VEKM024","24-Jan-14","23-Feb-14","F","M","S",3,26,1,"RASCALS","VEK1401","VKUF005",NA,NA,NA,NA,NA,NA,NA,NA,"19-Feb-14",139.25,7.3,40.79999,19.61370594,34.82071375,"9:50:00",NA,NA,NA,"4035",NA,0.826,0.652,NA,168,"CHA",NA,NA,NA,40.54,NA,NA,NA,37.07,NA,NA,NA,31.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.01,NA,NA,NA,48.19,NA,NA,NA,6.81,"CHA",NA,"YES",NA,NA,2014-02-23,2.4001598886753,0.0288291605268252,0.329161137145519
"174",248,248,"VEKF026","24-Jan-14","23-Feb-14","F","F","S",3,26,1,"EWOKS","VEK1401","VKUF005",17,NA,NA,NA,NA,NA,NA,NA,"19-Feb-14",138,9.7,40.79999,19.61370594,34.82071375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHA",NA,NA,NA,39.26,NA,NA,NA,37.17,NA,NA,NA,29.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.24,NA,NA,NA,47.61,NA,NA,NA,4.45,"CHA",NA,"YES",NA,NA,2014-02-23,7.04274200556281,0.0624323026133,0.329161137145519
"175",250,250,"VMYF004","29-Oct-13","26-Feb-14","S","F","S",3,129,4,"MAYANS","VMY1206","VAZF052",NA,NA,NA,NA,NA,NA,NA,NA,"7-Mar-14",375.3333333,7.4,36.399993,18.81309125,34.01046344,"10:15:00","10:27:00","10:29:00",12,"4069",237.736,NA,0.022,NA,NA,"CHA",65.38,65.39,65.43,65.4,60.55,60.42,60.47,60.48,52.15,52.2,52.12,52.15666667,49.45,"48.73",48.61,48.93,38.1,38.49,38.23,38.27333333,33.4,34.88,33.19,33.49,65.73,65.67,"65.4",65.6,8.85,8.71,8.34,8.633333333,"CHA",NA,"YES",1.128774365,NA,2014-02-26,-68.1056047324581,-0.48149357945475,0.255561675970074
"176",253,253,"VBBM094","15-Dec-13","15-Mar-14","C","M","S",3,89,3,"BAOBAB","VBB1304","VBBF069",NA,NA,NA,NA,NA,NA,NA,NA,"14-Mar-14",420.3333333,15.9,61.799998,18.61877938,33.84748875,"7:52:00","8:05:00","8:06:00",13,"4085",307.035,0.603,3.31,NA,185.42,"CHA",67.54,67.4,67.58,67.50666667,61.93,61.91,61.79,61.87666667,50.49,50.6,50.55,50.54666667,50.68,"50.46",50.64,50.59333333,40.79,40.92,40.93,40.88,34.61,35.55,34.64,34.6,68.18,68.09,"68.1",68.12,6.72,6.81,6.92,6.816666667,"CHA",NA,"YES",1.167664796,NA,2014-03-15,-62.4445936500378,-0.440519019400395,0.680431666075432
"177",254,254,"VBBM091","15-Dec-13","15-Mar-14","C","M","S",3,90,3,"BAOBAB","VBB1304","VBBF069",NA,NA,NA,NA,NA,NA,NA,NA,"15-Mar-14",418.3333333,15.9,61.799998,18.5847725,33.72624688,"7:52:00","8:01:00","8:09:00",9,"4089",140.896,0.366,0.022,NA,203.34,"CHA",65.82,65.92,65.84,65.86,60.8,60.6,60.66,60.68666667,50.93,50.78,50.86,50.85666667,49.86,"49.55",49.47,49.62666667,38.65,38.45,38.53,38.54333333,36.32,37.32,36.33,36.32333333,67.19,67.13,"67.1",67.14,13.67,13.52,13.58,13.59,"CHA",NA,"YES",1.112289771,29,2014-03-15,-43.3211727324693,-0.30210315208918,0.680431666075432
"178",255,255,"VBBF093","15-Dec-13","15-Mar-14","C","F","S",3,90,3,"BAOBAB","VBB1304","VBBF069",NA,NA,NA,NA,NA,NA,NA,NA,"15-Mar-14",412.3333333,15.9,61.799998,18.5847725,33.72624688,"7:10:00","7:21:00","7:27:00",11,"4088",359.084,0.503,NA,NA,221.64,"CHA",67.65,67.69,67.86,67.73333333,62.66,62.58,62.45,62.56333333,50.83,50.91,50.71,50.81666667,49.6,"49.56",49.7,49.62,38.02,38.11,38.12,38.08333333,35.49,36.49,35.55,35.51,66.19,66.27,"66.12",66.19,6.84,6.79,6.78,6.803333333,"CHA",NA,"YES",NA,39,2014-03-15,-58.998639125997,-0.415577102040729,0.680431666075432
"179",257,257,"VWF182","16-Feb-14","18-Mar-14","S","F","S",3,34,1,"WHISKERS","VW1402","VWF176",NA,NA,NA,NA,NA,NA,NA,NA,"22-Mar-14",108.4,7.9,108.400108,18.16986419,33.06653194,NA,NA,NA,NA,"AS PLASMA",NA,NA,NA,NA,NA,"CHA",NA,NA,NA,40.58,NA,NA,NA,38.14,NA,NA,NA,30.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.26,NA,NA,NA,49.58,NA,NA,NA,4.54,"CHA",NA,"YES",NA,NA,2014-03-18,-38.3367460453242,-0.26602572923036,1.45991923997979
"180",258,258,"VWF183","16-Feb-14","18-Mar-14","S","F","S",3,34,1,"WHISKERS","VW1402","VWF176",NA,NA,NA,NA,NA,NA,NA,NA,"22-Mar-14",119.4,7.9,108.400108,18.16986419,33.06653194,NA,NA,NA,NA,"AS PLASMA",NA,NA,NA,NA,NA,"CHA",NA,NA,NA,42.84,NA,NA,NA,40.87,NA,NA,NA,33.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.51,NA,NA,NA,49.42,NA,NA,NA,2.99,"CHA",NA,"YES",NA,NA,2014-03-18,-54.3531422536613,-0.381952862870991,1.45991923997979
"181",259,259,"VWF184","16-Feb-14","18-Mar-14","S","F","S",3,34,1,"WHISKERS","VW1402","VWF176",NA,NA,NA,NA,NA,NA,NA,NA,"22-Mar-14",119,7.9,108.400108,18.16986419,33.06653194,NA,NA,NA,NA,"AS PLASMA",NA,NA,NA,NA,NA,"CHA",NA,NA,NA,41.43,NA,NA,NA,40.1,NA,NA,NA,30.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.24,NA,NA,NA,50.6,NA,NA,NA,4.86,"CHA",NA,"YES",NA,NA,2014-03-18,-37.8977800174864,-0.262848480571491,1.45991923997979
"182",260,260,"VWM185","16-Feb-14","18-Mar-14","S","M","S",3,34,1,"WHISKERS","VW1402","VWF176",NA,NA,NA,NA,NA,NA,NA,NA,"22-Mar-14",115,7.9,108.400108,18.16986419,33.06653194,NA,NA,NA,NA,"AS PLASMA",NA,NA,NA,NA,NA,"CHA",NA,NA,NA,43.52,NA,NA,NA,41.87,NA,NA,NA,31.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.56,NA,NA,NA,48.38,NA,NA,NA,4.71,"CHA",NA,"YES",NA,NA,2014-03-18,-60.0772455001482,-0.42338408581257,1.45991923997979
"183",261,261,"VWM186","16-Feb-14","18-Mar-14","S","M","S",3,34,1,"WHISKERS","VW1402","VWF176",NA,NA,NA,NA,NA,NA,NA,NA,"22-Mar-14",128,7.9,108.400108,18.16986419,33.06653194,NA,NA,NA,NA,"AS PLASMA",NA,NA,NA,NA,NA,"CHA",NA,NA,NA,44.28,NA,NA,NA,42.54,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.78,NA,NA,NA,49.2,NA,NA,NA,4.04,"CHA",NA,"YES",NA,NA,2014-03-18,-56.8265166731367,-0.399855217629211,1.45991923997979
"184",262,262,"VJXM075","21-Feb-14","23-Mar-14","S","M","S",3,29,1,"JAXX","VJX1402","VJXF052",NA,NA,NA,NA,NA,NA,NA,NA,"22-Mar-14",104.4,8.9,102.000108,17.0156729,32.79220065,NA,NA,NA,NA,"AS PLASMA",NA,NA,NA,NA,NA,"CHA",NA,NA,NA,38.08,NA,NA,NA,35.66,NA,NA,NA,29.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.92,NA,NA,NA,49.36,NA,NA,NA,4.77,"CHA",NA,"YES",NA,NA,2014-03-23,-0.892988682967017,0.00499325701911139,1.3528654052788
"185",263,263,"VJXF074","21-Feb-14","23-Mar-14","S","F","S",3,29,1,"JAXX","VJX1402","VJXF052",NA,NA,NA,NA,NA,NA,NA,NA,"22-Mar-14",97,8.9,102.000108,17.0156729,32.79220065,NA,NA,NA,NA,"AS PLASMA",NA,NA,NA,NA,NA,"CHA",NA,NA,NA,37.59,NA,NA,NA,35.9,NA,NA,NA,29.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.47,NA,NA,NA,47.86,NA,NA,NA,2.96,"CHA",NA,"YES",NA,NA,2014-03-23,-13.9938147785423,-0.0898308967935844,1.3528654052788
"186",264,264,"VJXM073","21-Feb-14","23-Mar-14","S","M","S",3,29,1,"JAXX","VJX1402","VJXF052",NA,NA,NA,NA,NA,NA,NA,NA,"22-Mar-14",103,8.9,102.000108,17.0156729,32.79220065,NA,NA,NA,NA,"AS PLASMA",NA,NA,NA,NA,NA,"CHA",NA,NA,NA,38.47,NA,NA,NA,35.88,NA,NA,NA,30.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.25,NA,NA,NA,47.73,NA,NA,NA,4.54,"CHA",NA,"YES",NA,NA,2014-03-23,-7.29590415331642,-0.0413512282050047,1.3528654052788
"187",265,265,"VJXM072","21-Feb-14","23-Mar-14","S","M","S",3,29,1,"JAXX","VJX1402","VJXF052",NA,NA,NA,NA,NA,NA,NA,NA,"22-Mar-14",114,8.9,102.000108,17.0156729,32.79220065,NA,NA,NA,NA,"AS PLASMA",NA,NA,NA,NA,NA,"CHA",NA,NA,NA,38.14,NA,NA,NA,36.54,NA,NA,NA,29.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.07,NA,NA,NA,50,NA,NA,NA,3.98,"CHA",NA,"YES",NA,NA,2014-03-23,7.93733201390224,0.0689073706686442,1.3528654052788
"188",266,266,"VBBM089","27-Sep-13","26-Mar-14","S","M","S",3,182,6,"BAOBAB","VBB1303","VBBF083",NA,NA,NA,NA,NA,NA,NA,NA,"28-Mar-14",574.6666667,15.6,99.600108,16.18359616,31.77274031,"7:28:00","7:34:00","7:41:00",6,"4128",204.9942857,NA,NA,NA,NA,"CHA",72.64,72.58,72.59,72.60333333,67.13,67.16,67.1,67.13,60.97,61.06,60.97,61,55.58,"55.59",55.67,55.61333333,45.02,44.86,44.99,44.95666667,39.2,39.74,38.36,38.76666667,76.25,76.18,"76.24",76.22,9.84,9.2,9.81,9.616666667,"CHA",NA,"YES",0.990895969,18,2014-03-26,26.5087590306599,0.203327890345114,1.31272021726593
"189",267,267,"VBBM090","27-Sep-13","26-Mar-14","S","M","S",3,182,6,"BAOBAB","VBB1303","VBBF083",NA,NA,NA,NA,NA,NA,NA,NA,"28-Mar-14",557.6666667,15.6,99.600108,16.18359616,31.77274031,"8:02:00","8:09:00","8:22:00",7,"4129",177.112,NA,0.838,NA,154.64,"CHA",69.12,69.38,69.27,69.25666667,63.92,64.05,63.96,63.97666667,58.88,58.93,58.98,58.93,52.41,"52.52",52.32,52.41666667,42.34,42.39,42.25,42.32666667,38.31,39.38,38.26,38.31666667,72.41,72.19,"72.44",72.35,10.22,10.2,10.11,10.17666667,"CHA",NA,"YES",1.035249643,17,2014-03-26,52.4397600753175,0.391017217234681,1.31272021726593
"190",268,268,"VBBF088","27-Sep-13","26-Mar-14","S","F","S",3,183,6,"BAOBAB","VBB1303","VBBF083",NA,NA,NA,NA,NA,NA,NA,NA,"29-Mar-14",571.75,15.6,99.600108,15.88468897,31.67987781,"7:31:00","7:37:00","7:40:00",6,"4131",43.5,0.484,0.022,NA,184.86,"CHA",70.28,70.4,70.34,70.34,66.93,66.65,66.87,66.81666667,60.81,60.72,60.74,60.75666667,51.29,"51.2",51.2,51.23,40.52,40.02,40.46,40.33333333,38.85,39.89,38.71,38.81666667,76.6,76.6,"76.52",76.57,8.54,8.72,8.37,8.543333333,"CHA",NA,"YES",1.044291336,12,2014-03-26,69.2575233528585,0.51274466863209,1.31272021726593
"191",269,269,"VVHF070","2-Jan-14","2-Apr-14","C","F","S",3,88,3,"VAN HELSING","VVH1401","VVHF035",NA,NA,NA,NA,NA,NA,NA,NA,"31-Mar-14",343.25,10.1,99.600108,15.38879991,31.49949375,"8:16:00","8:25:00","8:26:00",9,"4134",141.48,0.218,0.079,NA,204.4,"CHA",60.95,60.95,60.9,60.93333333,56.01,56.02,56.07,56.03333333,47.34,47.32,47.3,47.32,47.18,"47.13",47.11,47.14,35.94,35.73,35.99,35.88666667,34.86,35.78,34.82,34.82,65.38,65.55,"65.26",65.4,6.89,6.87,6.83,6.863333333,"CHA",NA,"YES",0.911618568,58,2014-04-02,-46.7937006487002,-0.327237408421212,1.31272021726593
"192",270,270,"VVHM071","2-Jan-14","2-Apr-14","C","M","S",3,88,3,"VAN HELSING","VVH1401","VVHF035",NA,NA,NA,NA,NA,NA,NA,NA,"31-Mar-14",329,10.1,99.600108,15.38879991,31.49949375,"8:41:00","8:47:00","8:48:00",6,"4135",NA,0.146,0.11,NA,200.58,"CHA",62.04,62.13,62.19,62.12,56.56,56.69,56.76,56.67,46.92,46.82,46.68,46.80666667,47.4,"47.05",47.08,47.17666667,35.62,35.56,35.58,35.58666667,31.62,32.63,31.63,31.62666667,62.58,62.92,"62.54",62.68,5.45,5.96,5.77,5.726666667,"CHA",NA,"YES",1.028165805,59,2014-04-02,-84.6778294706572,-0.601443815884825,1.31272021726593
"193",271,271,"VVHF072","2-Jan-14","2-Apr-14","C","F","S",3,88,3,"VAN HELSING","VVH1401","VVHF035",NA,NA,NA,NA,NA,NA,NA,NA,"31-Mar-14",329,10.1,99.600108,15.38879991,31.49949375,"7:57:00","8:03:00","8:04:00",6,"4133",155.282,0.457,0.084,NA,149.54,"CHA",60.5,60.35,60.69,60.51333333,55.83,55.88,55.82,55.84333333,46.24,46.35,46.33,46.30666667,45.17,"45.02",45.17,45.12,34.27,34.32,34.26,34.28333333,32.68,33.52,32.64,32.61333333,63.99,63.74,"63.56",63.76,5.69,5.95,6.03,5.89,"CHA",NA,"YES",0.965264838,66,2014-04-02,-56.0229544506907,-0.39403901129051,1.31272021726593
"194",272,272,"VVHF073","2-Jan-14","2-Apr-14","C","F","S",3,88,3,"VAN HELSING","VVH1401","VVHF035",NA,NA,NA,NA,NA,NA,NA,NA,"31-Mar-14",323.8,10.1,99.600108,15.38879991,31.49949375,"9:00:00","9:06:00","9:07:00",6,"4136",155.77,0.134,0.072,NA,156.26,"CHA",61.18,61.24,61.16,61.19333333,56.97,56.96,56.82,56.91666667,45.21,45.22,45.35,45.26,45.9,"45.67",45.7,45.75666667,35.65,35.67,35.52,35.61333333,34,34.96,33.98,33.98,63.76,63.65,"63.71",63.71,4.32,4.01,4.18,4.17,"CHA",NA,"YES",1.047690771,NA,2014-04-02,-69.3517816284203,-0.490513443454048,1.31272021726593
"195",273,273,"VBBM098","9-Mar-14","8-Apr-14","F","M","S",3,24,1,"BAOBAB","VBB1403","VBBF069",22,NA,NA,NA,NA,NA,NA,NA,"2-Apr-14",157.6,17.3,97.000108,14.66530841,31.10200031,NA,NA,NA,NA,"4137",NA,1.662,3.285,NA,NA,"CHA",NA,NA,NA,40.1,NA,NA,NA,39.58,NA,NA,NA,31.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,NA,NA,NA,49.59,NA,NA,NA,3.54,"CHA",NA,"YES",NA,NA,2014-04-08,26.3944747783002,0.20250069765932,1.26922959691866
"196",274,274,"VBBM097","9-Mar-14","8-Apr-14","F","M","S",3,24,1,"BAOBAB","VBB1403","VBBF069",22,NA,NA,NA,NA,NA,NA,NA,"2-Apr-14",150.8,17.3,97.000108,14.66530841,31.10200031,NA,NA,NA,NA,"4138",NA,1.622,4.046,NA,NA,"CHA",NA,NA,NA,43.18,NA,NA,NA,40.96,NA,NA,NA,31.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,NA,NA,NA,49.33,NA,NA,NA,4.16,"CHA",NA,"YES",NA,NA,2014-04-08,-19.9157294490744,-0.132693884477533,1.26922959691866
"197",275,275,"VBBM096","9-Mar-14","8-Apr-14","F","M","S",3,24,1,"BAOBAB","VBB1403","VBBF069",22,NA,NA,NA,NA,NA,NA,NA,"2-Apr-14",156.8,17.3,97.000108,14.66530841,31.10200031,NA,NA,NA,NA,"4139",NA,1.348,2.664,NA,348.44,"CHA",NA,NA,NA,41.74,NA,NA,NA,38.9,NA,NA,NA,32.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.28,NA,NA,NA,50.7,NA,NA,NA,3.61,"CHA",NA,"YES",NA,NA,2014-04-08,4.55657382606179,0.044437346254261,1.26922959691866
"198",276,276,"VBBM095","9-Mar-14","8-Apr-14","F","M","S",3,24,1,"BAOBAB","VBB1403","VBBF069",22,NA,NA,NA,NA,NA,NA,NA,"2-Apr-14",161.6,17.3,97.000108,14.66530841,31.10200031,NA,NA,NA,NA,"4140",NA,5.036,5.686,NA,362.3,"CHA",NA,NA,NA,43.05,NA,NA,NA,40.94,NA,NA,NA,31.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.12,NA,NA,NA,52.25,NA,NA,NA,3.98,"CHA",NA,"YES",NA,NA,2014-04-08,-7.44809095895787,-0.0424527606550294,1.26922959691866
"199",282,282,"VKUM070","6-Jan-14","6-Apr-14","C","M","S",3,91,3,"KUNGFU","VKU1402","VKUF069",NA,NA,NA,NA,NA,NA,NA,NA,"7-Apr-14",332.75,4.9,95.800108,13.12245759,30.42820813,"8:13:00","8:21:00","8:28:00",8,"4161",203.583,0.166,0.169,NA,172.36,"CHA/DEBS",62.01,61.87,62.13,62.00333333,57.51,57.72,56.65,57.29333333,47.4,47.49,47.68,47.52333333,47.62,"47.77",47.57,47.65333333,39.41,39.39,39.58,39.46,31.47,32.47,31.89,31.61,62.73,62.62,"62.45",62.6,12.56,13.12,12.87,12.85,"DEBS",NA,"YES",NA,NA,2014-04-06,-79.4312307829209,-0.563468784590621,1.24915700291222
